"Page Name","URL Path","Category","Status"
"Home","/","Main Pages","Review"
"About","/about","Main Pages","Review"
"Services","/services","Main Pages","Review"
"Contact","/contact","Main Pages","Review"
"Web Development","/services/web-development","Service Pages","To Do"
"Ecommerce Solutions","/services/ecommerce-solutions","Service Pages","To Do"
"SEO Growth","/services/seo-growth","Service Pages","To Do"
"Performance Marketing","/services/performance-marketing","Service Pages","To Do"
"Case Studies","/work","Main Pages","To Do"
"Case Study Detail","/work/case-study-slug","Case Studies","To Do"
"Pricing","/pricing","Main Pages","To Do"
"Process","/process","Main Pages","To Do"
"Blog","/blog","Main Pages","To Do"
"Privacy Policy","/privacy-policy","Policy Pages","To Do"
"Carrer page","","","To Do"
"","","",""
